long,lat,elev,distance,slope
-78.286937,38.570698,260.58,0,0.07308695790528343
-78.286955,38.570923,262.42,25.175490302723613,0.033709457228143364
-78.288348,38.57119,265.64,150.1062436500908,0.023455728521310188
-78.289875,38.57178,268.83,298.456279436018,0.02929594250867922
-78.291123,38.571997,273.25,409.8691783208383,0.05735575116087512
-78.292372,38.572208,281.62,521.4504821294114,0.07217485026702794
-78.294465,38.572215,294.49,704.1545134676048,0.07833057450433356
-78.295795,38.573037,307.54,852.3557533344122,0.07395967220961706
-78.297115,38.572335,315.75,991.6084645849751,0.07114999171861791
-78.298265,38.571878,325.47,1104.358593628605,0.07847698678256966
-78.299738,38.570853,338.11,1276.5327578934223,0.11774047543233042
-78.300179,38.570551,351.97,1329.4298777617362,0.16197307815685918
-78.29981,38.569244,371.02,1479.714671668803,0.12259365687942413
-78.300798,38.567938,391.26,1649.9195425626099,0.12149717877535136
-78.300771,38.566575,410.29,1802.932053305379,0.1416282507768556
-78.300259,38.56562,429.49,1919.8515638246238,0.1565181515393478
-78.301059,38.564714,448.0,2043.8625756066208,0.14203367755971363
-78.301849,38.563808,464.61,2167.1168645856696,0.17141689878776142
-78.30202,38.563288,479.7,2228.7918341813493,0.12376506585437272
-78.303736,38.56267,492.67,2393.8367374859645,0.1125417729257048
-78.304059,38.562312,503.91,2443.911956875546,0.23349744229833505
-78.30361,38.562178,514.44,2487.071163463894,0.12864132955136787
-78.304508,38.561441,524.1,2600.8599616140846,0.1256700744055899
-78.304661,38.561054,534.56,2647.1729227344763,0.23588561173420183
-78.305263,38.56097,547.98,2702.0954707425863,0.14384574281308143
-78.305083,38.559734,562.5,2841.408771871189,0.12862463023107557
-78.304526,38.560197,575.15,2913.3302859656796,0.16577152993370042
-78.303754,38.560331,585.98,2983.0494987764105,0.17744301256442288
-78.304077,38.55998,596.26,3032.2980587447614,0.12470859650383806
-78.304293,38.55901,605.85,3142.3809366808414,0.11539153600975505
-78.30423,38.55854,615.13,3195.8282504080803,0.14578496906243096
-78.303691,38.559144,625.7,3278.5403784097034,0.14162245065313303
-78.302963,38.559481,637.41,3353.1479401694796,0.16129733143093894
-78.302316,38.559228,648.04,3417.0423598238535,0.15577831349952098
-78.301589,38.55913,657.48,3481.9848722759616,0.1411209818996078
-78.301032,38.558743,666.45,3547.4978013335844,0.126000048769009
-78.300538,38.558153,675.7,3626.5879909096857,0.10386188719558537
-78.299118,38.558139,687.57,3750.8447707587434,0.12467399841256109
-78.299613,38.557584,700.73,3827.351584912444,0.15400416448708107
-78.298732,38.557261,712.53,3912.9183100239347,0.11792133890702171
-78.299595,38.556776,721.79,4005.9452151679934,0.11073895332671259
-78.299702,38.556257,729.37,4064.9876541355507,0.15384474995930802
-78.299532,38.555856,738.24,4112.871190895804,0.08512406378990131
-78.301508,38.556053,748.24,4286.664100957614,0.09573091088085897
-78.301328,38.555603,760.03,4340.488371172282,0.23645126165001382
-78.30193,38.555449,774.45,4397.51146889763,0.1549523943641586
-78.302873,38.554648,787.77,4519.511096918664,0.10170748515476356
-78.303565,38.553756,798.73,4636.235295005947,0.08588580959016066
-78.305128,38.553355,810.14,4779.973216409039,0.11519613660553699
-78.305541,38.552681,825.03,4864.5415626897175,0.22015226913397004
-78.306287,38.552547,844.02,4933.866701737518,0.2811791101762388
-78.306736,38.551992,866.0,5010.249399855575,0.328008202318796
-78.30706,38.551473,891.81,5079.564277780303,0.24239368010255105
-78.308712,38.551339,918.46,5226.674184436614,0.18409062910755372
-78.309889,38.551107,938.71,5334.330097351701,0.18055947776669665
-78.310752,38.55136,952.61,5415.808537406585,0.1371792188305059
-78.311973,38.551353,964.57,5522.842615650495,0.10661249052376931
-78.313195,38.551339,975.43,5629.854751765607,0.10393180437388388
-78.31395,38.551522,982.89,5699.112046460102,0.06643191303924484
-78.314704,38.551121,985.31,5778.578453191507,0.008815192446623064
-78.315405,38.551276,984.15,5842.047099509644,-0.04588364410702494
-78.315558,38.551023,980.96,5873.383477610522,-0.12975721400985568
-78.315944,38.551107,975.5,5908.710059762035,-0.22036633924669172
-78.316204,38.550918,966.05,5941.043538811198,-0.1941088832957177
-78.317148,38.551156,952.24,6028.53971209466,-0.1985571769436192
-78.317193,38.550601,935.96,6092.586789290349,-0.19764564469877982
-78.31828,38.550939,919.17,6195.85936161388,-0.16286945561710553
-78.319052,38.550454,904.9,6283.291669357118,-0.1484939695380791
-78.319852,38.550082,894.04,6365.0918232294725,-0.12840525411677728
-78.32084,38.55037,882.51,6457.661481200156,-0.12352935827417379
-78.32225,38.550552,867.11,6583.09667953439,-0.13205335210970154
-78.320795,38.551037,847.57,6722.251508199047,-0.11792944773370165
-78.319717,38.552569,827.61,6918.042706664065,-0.129651256712536
-78.320642,38.5524,811.25,7002.387628132918,-0.21599782255020003
-78.321136,38.552112,797.42,7057.812634173328,-0.16968794962938688
-78.322277,38.552196,784.77,7158.438780013971,-0.09075402129836237
-78.324289,38.552569,771.9,7339.012294914537,-0.10992705477906657
-78.325062,38.552196,756.05,7419.70294339688,-0.17811993231306744
-78.326355,38.552386,736.83,7535.902106989921,-0.17794604585910928
-78.32764,38.552569,714.75,7651.7957656937,-0.18516017426642423
-78.328952,38.552702,693.68,7768.943581329388,-0.14229903337200622
-78.329652,38.55384,677.94,7910.476370387402,-0.14809231417808974
-78.328925,38.553777,663.03,7975.9090823420975,-0.17040653790859783
-78.32914,38.554838,646.2,8096.736829578379,-0.12916887346392852
-78.329356,38.555891,631.97,8216.369490233428,-0.11382165444466982
-78.330425,38.555786,621.84,8310.755858899744,-0.13343897640997904
-78.330533,38.556158,613.6,8354.035414345135,-0.11881621553853935
-78.331377,38.556488,606.9,8436.496271791064,-0.06663450993955017
-78.33215,38.556959,602.41,8521.966416016063,-0.03663363259694496
-78.331476,38.557999,599.01,8651.872128365494,-0.028750719985938377
-78.330577,38.558505,595.9,8748.395528162957,-0.026909829006070102
-78.329679,38.559186,593.48,8857.373248374564,-0.025076099129207097
-78.328772,38.559867,590.42,8966.930315881085,-0.03675319104955582
-78.328673,38.560907,585.18,9083.20397933909,-0.05570175109134801
-78.328215,38.561876,577.52,9198.52088076018,-0.062426520311411667
-78.326975,38.562817,568.57,9349.276794500687,-0.0529778406534756
-78.325583,38.563674,561.35,9503.742833949378,-0.04889438490596505
-78.324999,38.564581,555.48,9616.99669782241,-0.06847885250828176
-78.324316,38.56503,548.25,9695.042768457126,-0.07028624003133675
-78.32393,38.566322,539.59,9843.072242522418,-0.07693462536780815
-78.323104,38.566983,528.9,9946.55500897941,-0.11925370365504265
-78.322277,38.567636,514.93,10049.85827301194,-0.10066898559102624
-78.321073,38.569005,499.81,10235.521862367403,-0.08804620200649242
-78.319977,38.568331,487.84,10357.537643417973,-0.0863803782384275
-78.318881,38.56765,478.71,10479.790299601606,-0.08056521763721097
-78.317588,38.567811,468.77,10594.240287055989,-0.0901497216078121
-78.316285,38.567966,458.0,10709.519239754043,-0.08824403947690844
-78.315773,38.568998,447.68,10833.236599158392,-0.0798488548698954
-78.315261,38.570031,438.24,10956.986783680586,-0.07042107870297576
-78.314282,38.570621,431.37,11064.843389346779,-0.05772368771563226
-78.313303,38.571204,425.82,11172.149752151787,-0.04917211029100925
-78.31156,38.571674,418.19,11332.881509370476,-0.0527409318599213
-78.309808,38.572145,408.82,11494.480044782027,-0.062104817509381176
-78.308218,38.571822,399.25,11637.849799425254,-0.06487742784596612
-78.306619,38.571499,390.17,11781.945202067229,-0.06950281785753576
-78.304796,38.571148,377.84,11945.894863783442,-0.08543604214294398
-78.302963,38.570789,362.04,12111.197345476861,-0.10081938470045426
-78.302397,38.570438,354.79,12174.521531844193,-0.04976380789452134
-78.301373,38.570284,354.37,12265.32542217584,-0.018531277279439033
-78.300637,38.570354,351.91,12329.934456521298,-0.09512609970346231
-78.300187,38.570544,343.92,12375.17960554482,-0.12914035747572056
-78.299226,38.571176,331.86,12485.191886436416,-0.08945614734078552
-78.298274,38.571878,323.86,12599.42355742865,-0.0643737206666906
-78.297124,38.572314,317.33,12710.90510993071,-0.06908217328873056
-78.295795,38.573037,306.39,12852.310795457248,-0.08513212319322666
-78.294465,38.572215,292.67,13000.572500746614,-0.0761320617915828
-78.292372,38.572208,281.2,13183.183221702047,-0.06329944856899034
-78.291115,38.571997,274.01,13295.361798629081,-0.052128688390023284
-78.289857,38.57178,269.5,13407.627771552628,-0.03324521888154578
-78.288348,38.571183,265.38,13554.947997497227,-0.02672007446505957
-78.286946,38.570923,262.21,13680.456352533298,-0.0295587400689261
-78.286928,38.570705,260.95,13704.81906743018,-0.05171837397158136